F_0,F_1,F_2,Points_Magnitude
-132.5625218343,35.3430936311,146.7639196860,1.4194368124
29.9579021777,44.1329241384,146.6479850454,1.4674333334
-136.9113974680,-153.7060934695,146.5315185427,1.5905603170
81.6601455204,-0.1558613553,146.4905105306,1.3528401852
-43.6678813780,51.2844917102,146.4782349330,1.4714312553
41.2633714907,-0.0279462730,146.3950555622,1.3646917343
-19.4030912381,2.0091127171,146.1317893157,1.3703258038
55.6078601731,51.1622781607,145.8326099489,1.4782301188
-81.9823080472,48.9459591323,145.8055989475,1.4561821222
-54.3372135653,51.1540848228,145.5778440508,1.4686028957
30.6032777511,0.9545551251,145.4443987868,1.3743990660
113.1686736391,0.2935142399,145.3865051493,1.3663769960
-131.1545780932,1.6287527765,145.2543038176,1.3566093445
-223.9002690117,-229.1668807547,145.1684970470,1.6170833111
-31.9727525900,-0.0267581312,145.1605817652,1.3566641808
141.3497963765,58.3839088345,144.9079940845,1.4709720612
131.1079300674,5.9072667812,144.4252504599,1.3932511806
-6.9196504825,-0.0116373445,144.2854116266,1.2930544615
-255.4655827966,-262.5364019660,144.2781933318,1.6234071255
-53.6653582567,-0.0510883143,144.0840495241,1.3538247347
-160.5842089814,-170.5720798014,144.0691942231,1.5934808254
28.7046450724,44.6126560043,144.0114752215,1.4745922089
108.5993630842,49.6877324909,143.9618386183,1.4637125731
-6.8757012730,-0.0161197015,143.8114605211,1.3196278811
115.3107821513,21.2857612639,143.7782656141,1.4214928150
107.1692188254,53.2523398803,143.7590151191,1.4713588953
28.8605901598,0.0034158336,143.7400104229,1.2972917557
15.9752399021,4.3603999398,143.5248486108,1.3879497051
117.7842262724,54.5072582859,143.3082397518,1.4713288546
3.4436897759,-0.0068697819,142.9157650549,1.3212070465
-59.4005885808,48.6119453726,142.7324038143,1.4646043777
-8.5575398719,-101.9165844279,142.7073733312,1.5607687235
108.7075232624,-135.3174801769,142.6751866191,1.5714581013
-82.3070747866,0.0714947878,142.5049836077,1.3495830297
129.8889756764,1.8454055606,142.4262507575,1.3807240725
89.2970402473,53.3548980012,142.2184465093,1.4789676666
190.9446372632,-201.4894843010,142.1392848856,1.5983178616
-212.9112296832,-217.8375337705,142.0876624378,1.6119655371
19.6004792698,-100.9724212993,142.0230917986,1.5590826273
119.7227519056,14.1869305679,141.7957464845,1.4074523449
74.4972706442,-0.1113637387,141.6112384937,1.3511047363
19.5764534487,38.7303519460,141.6082718036,1.4597203732
30.1715361511,0.0040920674,141.5719815083,1.2841701508
-159.5612772543,27.6471881884,141.4542192454,1.3944855928
-71.2891617270,0.0247348475,141.3943666582,1.3513368368
114.8513718911,39.9500947050,141.3923728887,1.4507579803
112.8599743929,36.8337494959,141.2839746248,1.4438885450
-126.7912601307,54.0332801230,141.1970511638,1.4515275955
112.5691603609,48.9781791408,141.1277057695,1.4631944895
154.7978585364,34.1022283840,140.9288147437,1.4336811304
20.9644191870,41.2539537033,140.6939418283,1.4668570757
3.3433310493,46.1680935254,140.6397424858,1.4745533466
-10.6243629227,46.5974267503,140.6282061341,1.4719109535
130.9323264578,53.8250967672,140.5971221092,1.4670813084
-155.2100832687,6.7609661493,140.5969444931,1.3693807125
125.2442626160,-142.1080165295,140.4247162752,1.5779325962
29.8492506286,-0.0151058248,140.1703867036,1.3106658459
129.0413658187,9.2323486077,139.9390601677,1.4024460316
16.4508194808,0.0009312620,139.8995868763,1.2696638107
142.0950892728,27.8116057196,139.3461010819,1.4268721342
-161.5058463512,16.3666232137,139.2786103954,1.3821232319
3.3753258681,0.0003287773,139.2108438075,1.2681571245
-152.4625946097,55.8115939396,139.0390386377,1.4495184422
92.0769730615,-125.2378016636,139.0124143383,1.5688322783
112.8303583464,29.3258871604,138.9946835061,1.4349691868
-139.2699309808,2.4042271932,138.9490116624,1.3562867641
65.4630160884,52.1554192156,138.7603875998,1.4827226400
